,growth_rate,birth_time,gen_time,v0,vf,lineage
82,0.012843994353171342,801.0,56.0,1.98496,3.90265,1.0
83,0.013061362385999151,858.0,54.0,1.75648,3.35262,1.0
84,0.013102075847452934,913.0,67.0,1.40702,3.23555,1.0
85,0.011690468436924084,981.0,62.0,1.53372,2.94069,1.0
86,0.011314391057485733,1044.0,69.0,1.459,2.94349,1.0
87,0.011464317883248238,1114.0,90.0,1.40095,3.60658,1.0
88,0.01086872036588693,1205.0,89.0,1.53118,3.81302,1.0
89,0.013400960995914748,1295.0,77.0,1.63594,4.39763,1.0
90,0.011971942384636888,1373.0,70.0,1.95628,4.29192,1.0
91,0.01442258332636647,1444.0,48.0,2.0707,4.01679,1.0
92,0.013007166248147892,1493.0,62.0,1.84987,3.89447,1.0
93,0.011183134054134038,1556.0,81.0,1.75437,4.20347,1.0
94,0.012518560681192469,1638.0,70.0,1.96077,4.4898,1.0
95,0.01289475939383677,1709.0,51.0,1.94764,3.64448,1.0
96,0.011662038318957546,1761.0,74.0,1.63742,3.65567,1.0
97,0.01186780080477072,1836.0,89.0,1.72008,4.53171,1.0
98,0.013270423372773078,1926.0,62.0,1.96077,4.24157,1.0
99,0.013788268045691592,1989.0,63.0,1.85175,4.22878,1.0
100,0.01144914388044536,2053.0,133.0,2.00049,8.60732,1.0
101,0.012116777223762719,2187.0,32.0,4.18912,6.10825,1.0
102,0.013465481123240227,2220.0,45.0,2.05126,3.64503,1.0
103,0.011649459826070475,2266.0,78.0,1.67916,3.93369,1.0
104,0.010366863047984934,2345.0,91.0,1.76549,4.25595,1.0
105,0.013576145862987816,2437.0,57.0,2.04937,4.34004,1.0
106,0.013150695084188703,2495.0,50.0,2.11853,3.90586,1.0
107,0.011818379289850767,2546.0,73.0,1.71994,3.87315,1.0
108,0.012604054214336071,2620.0,130.0,1.61723,7.53481,1.0
109,0.014378422467229358,2751.0,32.0,3.39902,5.3114,1.0
110,0.013852276278730185,2784.0,49.0,2.57691,4.94616,1.0
111,0.014913251816940984,2834.0,38.0,2.22504,3.81181,1.0
112,0.011464624617541292,2873.0,68.0,1.81908,3.78325,1.0
113,0.011796664785355135,2942.0,104.0,1.68712,5.31878,1.0
114,0.012332662052445235,3047.0,44.0,2.80526,4.68758,1.0
115,0.013392889961300272,3092.0,54.0,2.09759,4.15763,1.0
116,0.011305778547686288,3147.0,74.0,2.00542,4.40033,1.0
117,0.011695622059776254,3222.0,53.0,2.10755,3.82108,1.0
118,0.013246879446112414,3276.0,71.0,1.55711,3.77127,1.0
119,0.011393720481455477,3348.0,77.0,1.67916,3.84557,1.0
120,0.014213072694845006,3426.0,69.0,1.75906,4.49849,1.0
121,0.01368773270825565,3496.0,84.0,2.0061,5.84963,1.0
122,0.012352229910232111,3581.0,70.0,2.55373,5.86703,1.0
123,0.012431503580525468,3652.0,55.0,2.86937,5.5229,1.0
124,0.012532656068928132,3708.0,56.0,2.50175,4.9521,1.0
125,0.012297652611377259,3765.0,42.0,2.29054,3.74922,1.0
126,0.0125939079866005,3808.0,98.0,1.75405,5.62842,1.0
127,0.011415811045496086,3907.0,134.0,2.62754,11.5082,1.0
128,0.012500664790051129,4042.0,37.0,6.41185,10.1035,1.0
129,0.012551817540142824,4080.0,37.0,4.52588,7.10381,1.0
130,0.01301439672065882,4118.0,29.0,3.67237,5.30044,1.0
131,0.012013415136831377,4148.0,54.0,2.41444,4.49873,1.0
132,0.01335743616906612,4203.0,59.0,2.17738,4.62718,1.0
133,0.010903269925899812,4263.0,59.0,2.09291,3.8104,1.0
134,0.012079986890669811,4323.0,83.0,1.65265,4.28105,1.0
135,0.011978783770574474,4407.0,90.0,1.90267,5.36271,1.0
136,0.012311878264951589,4498.0,58.0,2.27178,4.46018,1.0
137,0.011891368325524697,4557.0,49.0,2.18,3.79923,1.0
138,0.011300500664205914,4607.0,73.0,1.73175,3.79468,1.0
139,0.012970446543409892,4681.0,67.0,1.62893,3.60308,1.0
140,0.012223702399488938,1.0,60.0,1.4641,2.80911,2.0
141,0.011804345679283934,62.0,165.0,1.39396,8.41842,2.0
142,0.012182609613484042,228.0,36.0,4.05155,6.22204,2.0
143,0.011968147741635848,265.0,76.0,2.74841,6.60038,2.0
144,0.010188476775292655,342.0,61.0,3.4139,6.20734,2.0
145,0.014437641392913887,404.0,43.0,2.14738,3.8648,2.0
146,0.012431053677536259,448.0,71.0,1.56583,3.59461,2.0
147,0.011777562901673075,520.0,117.0,1.74302,6.36367,2.0
148,0.010046546821975052,638.0,34.0,3.23434,4.47042,2.0
149,0.012187812340762511,673.0,52.0,2.2212,4.05635,2.0
150,0.011906813209460488,726.0,58.0,1.97462,3.802,2.0
151,0.011047531250792093,785.0,64.0,2.12721,4.18747,2.0
152,0.013416309625134636,850.0,56.0,1.96077,3.97178,2.0
153,0.012983574004749155,907.0,61.0,1.79924,3.82556,2.0
154,0.012901921625941922,969.0,63.0,1.71803,3.72358,2.0
155,0.013261450360557123,1033.0,72.0,1.66416,4.14222,2.0
156,0.01255927756810212,1106.0,61.0,1.79019,3.72448,2.0
157,0.011513164153864561,1168.0,84.0,1.92729,4.8441,2.0
158,0.012440473958971342,1253.0,79.0,2.18515,5.63296,2.0
159,0.011237960442973064,1333.0,41.0,2.69073,4.15133,2.0
160,0.010506292313864669,1375.0,70.0,1.94692,3.9347,2.0
161,0.011742853983331454,1446.0,54.0,1.97085,3.51833,2.0
162,0.012154403186032243,1501.0,64.0,1.68712,3.56691,2.0
163,0.012760958627810508,1566.0,73.0,1.73403,4.16627,2.0
164,0.01239722860408097,1640.0,69.0,1.95347,4.44998,2.0
165,0.014045649150949632,1710.0,57.0,1.87106,4.02567,2.0
166,0.011605265263509537,1768.0,77.0,1.72605,4.0437,2.0
167,0.011548849419831003,1846.0,69.0,2.00845,4.20949,2.0
168,0.013256347833022559,1916.0,73.0,1.7514,4.4171,2.0
169,0.012237132854704435,1990.0,68.0,2.01316,4.47334,2.0
170,0.013233063628927325,2059.0,45.0,2.24282,3.96954,2.0
171,0.013237228760175029,2105.0,53.0,1.90348,3.73012,2.0
172,0.01237197674488648,2159.0,126.0,1.61968,6.96608,2.0
173,0.011932905073090954,2286.0,55.0,3.37362,6.34274,2.0
174,0.01511948602362295,2342.0,45.0,2.95551,5.68103,2.0
175,0.013074415001950808,2388.0,39.0,2.79706,4.56203,2.0
176,0.011745173653999472,2428.0,41.0,2.24031,3.53091,2.0
177,0.013041880685121623,2470.0,67.0,1.53859,3.42295,2.0
178,0.013277461319038113,2538.0,62.0,1.66191,3.56197,2.0
179,0.012254679630473171,2601.0,74.0,1.7042,3.86774,2.0
180,0.010968134126048688,2676.0,95.0,1.80388,4.88543,2.0
181,0.012844987832446057,2772.0,48.0,2.16315,3.9106,2.0
182,0.011641413288133033,2821.0,70.0,1.65877,3.52643,2.0
183,0.01285331880565529,2892.0,96.0,1.60977,5.13534,2.0
184,0.01356526791338413,2989.0,56.0,2.5968,5.40633,2.0
185,0.012778753663981518,3046.0,45.0,2.6847,4.68826,2.0
186,0.012790130993747558,3092.0,52.0,1.5707,2.95224,2.0
187,0.012499759230616836,3145.0,68.0,1.40899,3.14497,2.0
188,0.013308069299775302,3214.0,84.0,1.33306,3.67211,2.0
189,0.013254914634098553,3299.0,70.0,1.76617,4.11117,2.0
190,0.01330038237611641,3370.0,92.0,1.67728,5.32555,2.0
191,0.01167844420293008,3463.0,76.0,2.44361,5.77856,2.0
192,0.013883762486863677,3540.0,37.0,2.89042,4.74664,2.0
193,0.010443312172848357,3578.0,82.0,2.16586,4.87217,2.0
